month,bidding_no,vehicle_class,premium
2010-01,1,Real Estate,18502
2010-01,1,Commercial,19190
2010-01,1,Unsecured,19001
2010-01,1,Auto,889
2010-01,1,Other,19889
2010-01,2,Real Estate,20501
2010-01,2,Commercial,22400
2010-01,2,Unsecured,20090
2010-01,2,Auto,852
2010-01,2,Other,21899
2010-02,1,Real Estate,19989
2010-02,1,Commercial,23180
2010-02,1,Unsecured,21390
2010-02,1,Auto,852
2010-02,1,Other,22401
2010-02,2,Real Estate,20340
2010-02,2,Commercial,23889
2010-02,2,Unsecured,23501
2010-02,2,Auto,1001
2010-02,2,Other,24229
2010-03,1,Real Estate,20802
2010-03,1,Commercial,26389
2010-03,1,Unsecured,27001
2010-03,1,Auto,1159
2010-03,1,Other,27590
2010-03,2,Real Estate,28389
2010-03,2,Commercial,36089
2010-03,2,Unsecured,32890
2010-03,2,Auto,1200
2010-03,2,Other,42001
2010-04,1,Real Estate,34001
2010-04,1,Commercial,45501
2010-04,1,Unsecured,36511
2010-04,1,Auto,1221
2010-04,1,Other,49000
2010-04,2,Real Estate,30000
2010-04,2,Commercial,40001
2010-04,2,Unsecured,35556
2010-04,2,Auto,1253
2010-04,2,Other,43003
2010-05,1,Real Estate,26102
2010-05,1,Commercial,38000
2010-05,1,Unsecured,32501
2010-05,1,Auto,1252
2010-05,1,Other,39002
2010-05,2,Real Estate,27389
2010-05,2,Commercial,34600
2010-05,2,Unsecured,29389
2010-05,2,Auto,1312
2010-05,2,Other,39000
2010-06,1,Real Estate,29501
2010-06,1,Commercial,35909
2010-06,1,Unsecured,31389
2010-06,1,Auto,1320
2010-06,1,Other,41010
2010-06,2,Real Estate,31510
2010-06,2,Commercial,39911
2010-06,2,Unsecured,31689
2010-06,2,Auto,1454
2010-06,2,Other,41006
2010-07,1,Real Estate,29501
2010-07,1,Commercial,35909
2010-07,1,Unsecured,31389
2010-07,1,Auto,1320
2010-07,1,Other,41010
2010-07,2,Real Estate,36162
2010-07,2,Commercial,42889
2010-07,2,Unsecured,30601
2010-07,2,Auto,1290
2010-07,2,Other,43565
2010-08,1,Real Estate,32104
2010-08,1,Commercial,43334
2010-08,1,Unsecured,30112
2010-08,1,Auto,1301
2010-08,1,Other,42901
2010-08,2,Real Estate,29000
2010-08,2,Commercial,42810
2010-08,2,Unsecured,30002
2010-08,2,Auto,1251
2010-08,2,Other,43501
2010-09,1,Real Estate,33089
2010-09,1,Commercial,44129
2010-09,1,Unsecured,33000
2010-09,1,Auto,1502
2010-09,1,Other,44001
2010-09,2,Real Estate,30001
2010-09,2,Commercial,42501
2010-09,2,Unsecured,31001
2010-09,2,Auto,1452
2010-09,2,Other,43290
2010-10,1,Real Estate,33132
2010-10,1,Commercial,42801
2010-10,1,Unsecured,30889
2010-10,1,Auto,1502
2010-10,1,Other,44090
2010-10,2,Real Estate,32415
2010-10,2,Commercial,44600
2010-10,2,Unsecured,30511
2010-10,2,Auto,1689
2010-10,2,Other,44900
2010-11,1,Real Estate,34001
2010-11,1,Commercial,45501
2010-11,1,Unsecured,31006
2010-11,1,Auto,1452
2010-11,1,Other,46001
2010-11,2,Real Estate,39000
2010-11,2,Commercial,47890
2010-11,2,Unsecured,31202
2010-11,2,Auto,1502
2010-11,2,Other,49890
2010-12,1,Real Estate,47604
2010-12,1,Commercial,62502
2010-12,1,Unsecured,32001
2010-12,1,Auto,1701
2010-12,1,Other,64900
2010-12,2,Real Estate,46129
2010-12,2,Commercial,72001
2010-12,2,Unsecured,33501
2010-12,2,Auto,1551
2010-12,2,Other,76102
2011-01,1,Real Estate,38889
2011-01,1,Commercial,69000
2011-01,1,Unsecured,35111
2011-01,1,Auto,1503
2011-01,1,Other,75789
2011-01,2,Real Estate,40123
2011-01,2,Commercial,58910
2011-01,2,Unsecured,30000
2011-01,2,Auto,1690
2011-01,2,Other,67009
2011-02,1,Real Estate,37124
2011-02,1,Commercial,53400
2011-02,1,Unsecured,28589
2011-02,1,Auto,1819
2011-02,1,Other,58890
2011-02,2,Real Estate,42999
2011-02,2,Commercial,62000
2011-02,2,Unsecured,29011
2011-02,2,Auto,2001
2011-02,2,Other,62001
2011-03,1,Real Estate,42600
2011-03,1,Commercial,61894
2011-03,1,Unsecured,30001
2011-03,1,Auto,2604
2011-03,1,Other,62010
2011-03,2,Real Estate,43813
2011-03,2,Commercial,57002
2011-03,2,Unsecured,29690
2011-03,2,Auto,2534
2011-03,2,Other,59073
2011-04,1,Real Estate,43212
2011-04,1,Commercial,55001
2011-04,1,Unsecured,28189
2011-04,1,Auto,2490
2011-04,1,Other,57100
2011-04,2,Real Estate,44000
2011-04,2,Commercial,56801
2011-04,2,Unsecured,23900
2011-04,2,Auto,2502
2011-04,2,Other,56001
2011-05,1,Real Estate,44790
2011-05,1,Commercial,56011
2011-05,1,Unsecured,21889
2011-05,1,Auto,2253
2011-05,1,Other,56490
2011-05,2,Real Estate,46989
2011-05,2,Commercial,56300
2011-05,2,Unsecured,22989
2011-05,2,Auto,2013
2011-05,2,Other,56889
2011-06,1,Real Estate,53390
2011-06,1,Commercial,63000
2011-06,1,Unsecured,29006
2011-06,1,Auto,2491
2011-06,1,Other,62000
2011-06,2,Real Estate,50244
2011-06,2,Commercial,67700
2011-06,2,Unsecured,31089
2011-06,2,Auto,2290
2011-06,2,Other,65490
2011-07,1,Real Estate,55989
2011-07,1,Commercial,68501
2011-07,1,Unsecured,32590
2011-07,1,Auto,2360
2011-07,1,Other,68811
2011-07,2,Real Estate,56002
2011-07,2,Commercial,72501
2011-07,2,Unsecured,34502
2011-07,2,Auto,2012
2011-07,2,Other,74490
2011-08,1,Real Estate,48801
2011-08,1,Commercial,70890
2011-08,1,Unsecured,34009
2011-08,1,Auto,1890
2011-08,1,Other,70117
2011-08,2,Real Estate,49301
2011-08,2,Commercial,65521
2011-08,2,Unsecured,32289
2011-08,2,Auto,1999
2011-08,2,Other,67000
2011-09,1,Real Estate,51000
2011-09,1,Commercial,63002
2011-09,1,Unsecured,31900
2011-09,1,Auto,2339
2011-09,1,Other,65589
2011-09,2,Real Estate,48006
2011-09,2,Commercial,64889
2011-09,2,Unsecured,30089
2011-09,2,Auto,2109
2011-09,2,Other,62502
2011-10,1,Real Estate,50289
2011-10,1,Commercial,63600
2011-10,1,Unsecured,32801
2011-10,1,Auto,2078
2011-10,1,Other,65058
2011-10,2,Real Estate,56112
2011-10,2,Commercial,75889
2011-10,2,Unsecured,37011
2011-10,2,Auto,2091
2011-10,2,Other,73600
2011-11,1,Real Estate,55997
2011-11,1,Commercial,77000
2011-11,1,Unsecured,40803
2011-11,1,Auto,2012
2011-11,1,Other,78001
2011-11,2,Real Estate,54887
2011-11,2,Commercial,77340
2011-11,2,Unsecured,40189
2011-11,2,Auto,1889
2011-11,2,Other,75889
2011-12,1,Real Estate,52392
2011-12,1,Commercial,72350
2011-12,1,Unsecured,40009
2011-12,1,Auto,1902
2011-12,1,Other,74340
2011-12,2,Real Estate,50001
2011-12,2,Commercial,70003
2011-12,2,Unsecured,39589
2011-12,2,Auto,1481
2011-12,2,Other,71000
2012-01,1,Real Estate,46889
2012-01,1,Commercial,65801
2012-01,1,Unsecured,38699
2012-01,1,Auto,1682
2012-01,1,Other,65700
2012-01,2,Real Estate,48112
2012-01,2,Commercial,67889
2012-01,2,Unsecured,44001
2012-01,2,Auto,1552
2012-01,2,Other,67101
2012-02,1,Real Estate,52809
2012-02,1,Commercial,73890
2012-02,1,Unsecured,49801
2012-02,1,Auto,1802
2012-02,1,Other,73801
2012-02,2,Real Estate,57009
2012-02,2,Commercial,78189
2012-02,2,Unsecured,52004
2012-02,2,Auto,2012
2012-02,2,Other,78000
2012-03,1,Real Estate,56551
2012-03,1,Commercial,79304
2012-03,1,Unsecured,50009
2012-03,1,Auto,1490
2012-03,1,Other,76881
2012-03,2,Real Estate,56501
2012-03,2,Commercial,82003
2012-03,2,Unsecured,51511
2012-03,2,Auto,2000
2012-03,2,Other,80101
2012-04,1,Real Estate,58501
2012-04,1,Commercial,83700
2012-04,1,Unsecured,53989
2012-04,1,Auto,1896
2012-04,1,Other,84590
2012-04,2,Real Estate,64201
2012-04,2,Commercial,91000
2012-04,2,Unsecured,57589
2012-04,2,Auto,1924
2012-04,2,Other,92010
2012-05,1,Real Estate,62600
2012-05,1,Commercial,92050
2012-05,1,Unsecured,58553
2012-05,1,Auto,2021
2012-05,1,Other,88990
2012-05,2,Real Estate,58001
2012-05,2,Commercial,85216
2012-05,2,Unsecured,57106
2012-05,2,Auto,1890
2012-05,2,Other,86889
2012-06,1,Real Estate,59003
2012-06,1,Commercial,83000
2012-06,1,Unsecured,54522
2012-06,1,Auto,1912
2012-06,1,Other,85889
2012-06,2,Real Estate,59004
2012-06,2,Commercial,85400
2012-06,2,Unsecured,54502
2012-06,2,Auto,1712
2012-06,2,Other,84389
2012-07,1,Real Estate,59421
2012-07,1,Commercial,82289
2012-07,1,Unsecured,55556
2012-07,1,Auto,1760
2012-07,1,Other,86999
2012-07,2,Real Estate,68656
2012-07,2,Commercial,90501
2012-07,2,Unsecured,55805
2012-07,2,Auto,1859
2012-07,2,Other,92700
2012-08,1,Real Estate,73501
2012-08,1,Commercial,94502
2012-08,1,Unsecured,57001
2012-08,1,Auto,2081
2012-08,1,Other,95034
2012-08,2,Real Estate,66889
2012-08,2,Commercial,88002
2012-08,2,Unsecured,59334
2012-08,2,Auto,2013
2012-08,2,Other,93990
2012-09,1,Real Estate,68000
2012-09,1,Commercial,80191
2012-09,1,Unsecured,57334
2012-09,1,Auto,1801
2012-09,1,Other,87999
2012-09,2,Real Estate,63000
2012-09,2,Commercial,88500
2012-09,2,Unsecured,57809
2012-09,2,Auto,1852
2012-09,2,Other,89990
2012-10,1,Real Estate,69000
2012-10,1,Commercial,80001
2012-10,1,Unsecured,56001
2012-10,1,Auto,1912
2012-10,1,Other,86889
2012-10,2,Real Estate,71001
2012-10,2,Commercial,85801
2012-10,2,Unsecured,57889
2012-10,2,Auto,1920
2012-10,2,Other,87000
2012-11,1,Real Estate,77201
2012-11,1,Commercial,92400
2012-11,1,Unsecured,59111
2012-11,1,Auto,1959
2012-11,1,Other,92100
2012-11,2,Real Estate,77291
2012-11,2,Commercial,93004
2012-11,2,Unsecured,60235
2012-11,2,Auto,1689
2012-11,2,Other,93990
2012-12,1,Real Estate,78523
2012-12,1,Commercial,90200
2012-12,1,Unsecured,63035
2012-12,1,Auto,1612
2012-12,1,Other,97000
2012-12,2,Real Estate,81889
2012-12,2,Commercial,93501
2012-12,2,Unsecured,62201
2012-12,2,Auto,1701
2012-12,2,Other,95990
2013-01,1,Real Estate,92100
2013-01,1,Commercial,96210
2013-01,1,Unsecured,60000
2013-01,1,Auto,1933
2013-01,1,Other,96101
2013-01,2,Real Estate,91010
2013-01,2,Commercial,95501
2013-01,2,Unsecured,57051
2013-01,2,Auto,1781
2013-01,2,Other,97889
2013-02,1,Real Estate,87109
2013-02,1,Commercial,92901
2013-02,1,Unsecured,54989
2013-02,1,Auto,1782
2013-02,1,Other,94890
2013-02,2,Real Estate,78301
2013-02,2,Commercial,92667
2013-02,2,Unsecured,53489
2013-02,2,Auto,1512
2013-02,2,Other,91910
2013-03,1,Real Estate,74689
2013-03,1,Commercial,58090
2013-03,1,Unsecured,53900
2013-03,1,Auto,1895
2013-03,1,Other,65001
2013-03,2,Real Estate,64209
2013-03,2,Commercial,73900
2013-03,2,Unsecured,54111
2013-03,2,Auto,1909
2013-03,2,Other,73301
2013-04,1,Real Estate,61029
2013-04,1,Commercial,67010
2013-04,1,Unsecured,56011
2013-04,1,Auto,1812
2013-04,1,Other,66989
2013-04,2,Real Estate,62497
2013-04,2,Commercial,62000
2013-04,2,Unsecured,58502
2013-04,2,Auto,1791
2013-04,2,Other,62000
2013-05,1,Real Estate,62999
2013-05,1,Commercial,61700
2013-05,1,Unsecured,57051
2013-05,1,Auto,1700
2013-05,1,Other,62301
2013-05,2,Real Estate,64839
2013-05,2,Commercial,67304
2013-05,2,Unsecured,56889
2013-05,2,Auto,1663
2013-05,2,Other,66701
2013-06,1,Real Estate,67301
2013-06,1,Commercial,75000
2013-06,1,Unsecured,57989
2013-06,1,Auto,1701
2013-06,1,Other,76000
2013-06,2,Real Estate,69903
2013-06,2,Commercial,81751
2013-06,2,Unsecured,59001
2013-06,2,Auto,1712
2013-06,2,Other,83001
2013-07,1,Real Estate,73100
2013-07,1,Commercial,77110
2013-07,1,Unsecured,61011
2013-07,1,Auto,1610
2013-07,1,Other,77000
2013-07,2,Real Estate,73989
2013-07,2,Commercial,76389
2013-07,2,Unsecured,65036
2013-07,2,Auto,1712
2013-07,2,Other,76802
2013-08,1,Real Estate,75556
2013-08,1,Commercial,77600
2013-08,1,Unsecured,68251
2013-08,1,Auto,1792
2013-08,1,Other,77989
2013-08,2,Real Estate,76223
2013-08,2,Commercial,76607
2013-08,2,Unsecured,71001
2013-08,2,Auto,1722
2013-08,2,Other,79223
2013-09,1,Real Estate,77304
2013-09,1,Commercial,77100
2013-09,1,Unsecured,73999
2013-09,1,Auto,1660
2013-09,1,Other,80000
2013-09,2,Real Estate,83751
2013-09,2,Commercial,86239
2013-09,2,Unsecured,76001
2013-09,2,Auto,1703
2013-09,2,Other,87001
2013-10,1,Real Estate,85000
2013-10,1,Commercial,93500
2013-10,1,Unsecured,76310
2013-10,1,Auto,1961
2013-10,1,Other,93889
2013-10,2,Real Estate,76889
2013-10,2,Commercial,87910
2013-10,2,Unsecured,68002
2013-10,2,Auto,1804
2013-10,2,Other,92289
2013-11,1,Real Estate,72609
2013-11,1,Commercial,84578
2013-11,1,Unsecured,55503
2013-11,1,Auto,1710
2013-11,1,Other,89001
2013-11,2,Real Estate,74991
2013-11,2,Commercial,79300
2013-11,2,Unsecured,55002
2013-11,2,Auto,1712
2013-11,2,Other,83000
2013-12,1,Real Estate,73160
2013-12,1,Commercial,73010
2013-12,1,Unsecured,51112
2013-12,1,Auto,1782
2013-12,1,Other,76901
2013-12,2,Real Estate,74002
2013-12,2,Commercial,75700
2013-12,2,Unsecured,48001
2013-12,2,Auto,1812
2013-12,2,Other,77501
2014-01,1,Real Estate,72369
2014-01,1,Commercial,78700
2014-01,1,Unsecured,48889
2014-01,1,Auto,1989
2014-01,1,Other,79000
2014-01,2,Real Estate,72290
2014-01,2,Commercial,79000
2014-01,2,Unsecured,50001
2014-01,2,Auto,2704
2014-01,2,Other,78810
2014-02,1,Real Estate,71564
2014-02,1,Commercial,75300
2014-02,1,Unsecured,51002
2014-02,1,Auto,3051
2014-02,1,Other,77003
2014-02,2,Real Estate,77201
2014-02,2,Commercial,78604
2014-02,2,Unsecured,52890
2014-02,2,Auto,3501
2014-02,2,Other,79000
2014-03,1,Real Estate,76999
2014-03,1,Commercial,80710
2014-03,1,Unsecured,56302
2014-03,1,Auto,4001
2014-03,1,Other,82000
2014-03,2,Real Estate,78602
2014-03,2,Commercial,82900
2014-03,2,Unsecured,53891
2014-03,2,Auto,4289
2014-03,2,Other,84001
2014-04,1,Real Estate,77400
2014-04,1,Commercial,84504
2014-04,1,Unsecured,49503
2014-04,1,Auto,4489
2014-04,1,Other,84100
2014-04,2,Real Estate,71335
2014-04,2,Commercial,75010
2014-04,2,Unsecured,32890
2014-04,2,Auto,4502
2014-04,2,Other,73810
2014-05,1,Real Estate,60002
2014-05,1,Commercial,70002
2014-05,1,Unsecured,36301
2014-05,1,Auto,4001
2014-05,1,Other,65501
2014-05,2,Real Estate,65689
2014-05,2,Commercial,68103
2014-05,2,Unsecured,40889
2014-05,2,Auto,4003
2014-05,2,Other,67290
2014-06,1,Real Estate,63190
2014-06,1,Commercial,67304
2014-06,1,Unsecured,43001
2014-06,1,Auto,4089
2014-06,1,Other,67334
2014-06,2,Real Estate,61899
2014-06,2,Commercial,65700
2014-06,2,Unsecured,42001
2014-06,2,Auto,3890
